<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
RI.RTSI,D,20171005,000000,1144.0500000
RI.RTSI,D,20171006,000000,1134.3000000
RI.RTSI,D,20171009,000000,1132.4500000
RI.RTSI,D,20171010,000000,1134.8600000
RI.RTSI,D,20171011,000000,1143.3200000
RI.RTSI,D,20171012,000000,1143.9600000
RI.RTSI,D,20171013,000000,1156.6400000
RI.RTSI,D,20171016,000000,1158.2400000
RI.RTSI,D,20171017,000000,1146.6200000
RI.RTSI,D,20171018,000000,1147.7900000
RI.RTSI,D,20171019,000000,1138.6400000
RI.RTSI,D,20171020,000000,1134.4500000
RI.RTSI,D,20171023,000000,1131.0800000
RI.RTSI,D,20171024,000000,1127.0300000
RI.RTSI,D,20171025,000000,1118.1300000
RI.RTSI,D,20171026,000000,1118.1900000
RI.RTSI,D,20171027,000000,1118.6200000
RI.RTSI,D,20171030,000000,1124.0500000
RI.RTSI,D,20171031,000000,1113.4100000
RI.RTSI,D,20171101,000000,1126.4300000
RI.RTSI,D,20171102,000000,1118.6600000
RI.RTSI,D,20171103,000000,1109.3800000
RI.RTSI,D,20171107,000000,1146.9800000
RI.RTSI,D,20171108,000000,1150.3600000
RI.RTSI,D,20171109,000000,1161.3800000
RI.RTSI,D,20171110,000000,1156.7400000
RI.RTSI,D,20171113,000000,1148.7900000
RI.RTSI,D,20171114,000000,1136.8600000
RI.RTSI,D,20171115,000000,1116.5300000
RI.RTSI,D,20171116,000000,1126.5200000
RI.RTSI,D,20171117,000000,1132.4500000
RI.RTSI,D,20171120,000000,1128.7200000
RI.RTSI,D,20171121,000000,1147.6100000
RI.RTSI,D,20171122,000000,1159.1100000
RI.RTSI,D,20171123,000000,1158.6200000
RI.RTSI,D,20171124,000000,1166.0900000
RI.RTSI,D,20171127,000000,1160.5600000
RI.RTSI,D,20171128,000000,1159.4100000
RI.RTSI,D,20171129,000000,1144.6800000
RI.RTSI,D,20171130,000000,1131.5600000
RI.RTSI,D,20171201,000000,1133.3300000
RI.RTSI,D,20171204,000000,1133.8700000
RI.RTSI,D,20171205,000000,1134.2500000
RI.RTSI,D,20171206,000000,1131.3800000
RI.RTSI,D,20171207,000000,1119.5100000
RI.RTSI,D,20171208,000000,1119.5400000
RI.RTSI,D,20171211,000000,1144.3500000
RI.RTSI,D,20171212,000000,1149.8800000
RI.RTSI,D,20171213,000000,1141.5000000
RI.RTSI,D,20171214,000000,1153.3200000
RI.RTSI,D,20171215,000000,1148.2700000
RI.RTSI,D,20171218,000000,1147.9100000
RI.RTSI,D,20171219,000000,1134.5800000
RI.RTSI,D,20171220,000000,1129.3300000
RI.RTSI,D,20171221,000000,1126.9700000
RI.RTSI,D,20171222,000000,1135.7000000
RI.RTSI,D,20171225,000000,1143.9400000
RI.RTSI,D,20171226,000000,1144.9700000
RI.RTSI,D,20171227,000000,1148.9200000
RI.RTSI,D,20171228,000000,1150.5800000
RI.RTSI,D,20171229,000000,1154.4300000
